name,website,description,country,city,founded,topic
Dada Pet,http://www.dadapet.com,"Dada Pet is a community of pet owners, who can contact each other in the simplest and most reliable way, as well as suppliers who are looking to offer the best services and products for pets.",Mexico,Mexico City,2013,Pets
Cycleswap,http://cycleswap.eu,A platform through which individual bicycle owners and small bike shops can rent out bikes to individuals.,Netherlands,Amsterdam,2015,Transport
CurrencyFair,http://www.currencyfair.com,The world's first online person-to-person foreign exchange marketplace.,Australia,Ranelagh,2009,Finance
Currency Bird,http://currencybird.cl,"Provides an easy, safe and fast way for people to transfer money abroad at competitive rates.",Chile,Santiago,,Finance
Culturide,http://www.culturide.com,The language exchange platform connecting travelers with like-minded local hosts.,Germany,Hamburg,2015,Education
Crowdzu,http://crowdzu.com,A fully integrated marketplace for entrepreneurs to crowdsource all their design and branding needs.,United States,New York City,2012,Art
CrowdSchool,http://crowdschool.co,The world€__s first online platform for crowdsourcing project based learning and resources for teachers and students.,United States,Los Angeles,2014,Education
Crowdcube,https://www.crowdcube.com/,Crowdcube is an investment crowdfunding platform for businesses,United Kingdom,Exeter,2011,Finance
Crowd Valley,http://crowdvalley.com,"Offers back office services for crowdfunding, P2P investing, and alternative asset marketplaces for securities professionals.",United States,San Francisco,2012,Finance
Cronnection,http://cronnection.com,"A free collaborative consumption marketplace, where users trade their talents and objects with virtual currency.",United States,Miami,2013,Marketplace
Croissant,http://getcroissant.com,Croissant opens up exclusive access to coworking spaces around New York City with one monthly membership for its users.,United States,New York City,2015,Business
CrewWithMe,http://crewwith.me,A rideshare web application that helps recreational boaters make greater use of their boats by matching them to keen crew.,Australia,Sydney,,Transport
Craigslist,http://www.craigslist.org/,"Craigslist is a classified advertisements website for jobs, personals, for sale and wanted items, services, râŸsumâŸs and discussion forums.",United States,San Francisco,1995,Marketplace
Cowen Capital,http://www.cowencapital.com,Connects businesses of all sizes to capital within minutes.,United States,New York City,2013,Finance
CountUp,http://countup.io,"An online marketplace matching businesses with on-demand Certified Public Accountants. Its mission is to make the process of discovering, hiring and working with virtual accountants as frictionless as possible.",United States,New York City,2015,Finance
Costockage,http://costockage.fr,A furniture storage platform that connects 'the right space with the right person'.,France,Paris,2012,Storage
COSMINA,http://cosmina.com,An online platform connecting Yoga teachers keen students.,United States,Miami,2015,Sports
Coomuna,http://coomuna.com,A platform that allows users to connect with university communities to offer and receive private lessons and find out what's going on.,Peru,Lima,2014,Education
Cookisto,http://cookisto.co.uk,"An online community where users can find food cooked by locals, or post their own dishes at their own prices.",Greece,Athens,2013,Cooking
Cookening,http://cookening.com,A 'collaborative gastronomy' platform that invites travelers to eat at local's homes and discover new foods along the way.,France,Paris,2012,Cooking
ConnectRiders,http://connectriders.com,"A platform that allows motorcycle owners to list, share, and make money with their motorcycles, as well as request vehicles for rental.",United States,San Francisco,,Transport
Comunitae,http://www.comunitae.com,A Spanish crowdfunding site for users to loan funds or invest in companies and individuals.,Spain,Madrid,2008,Finance
Compare and Share,http://compareandshare.com,"A comparison site for sharing experiences, where users can offer or request transport or accommodation.",United Kingdom,London,2013,Home
Community Marketplaces,http://communitymarketplaces.com,A platform that creates a secure community marketplace with direct buyer/seller payment processes.,United States,Dallas,2015,Marketplace
Colorful Flags,http://colorfulflags.org,A human relations program that aims to enhance social interaction through the teaching of cultural facts and human relations statements.,United States,Pomona,,Education
College Labor,http://collegelabor.org,"An online marketplace that connects households and businesses with eager, pre-screened, friendly college students for affordable moving, hauling and general errand services in the San Francisco Bay Area.",United States,San Francisco,2012,Home
Collectively,http://collectivelyinc.com/,Orchestrates influencer marketing initiatives designed to generate engagement and awareness for brands.,United States,San Francisco,2013,Services
Closeup,http://closeup.fm,"Brings bands and fans together in living rooms, backyards, and other intimate spaces around the world for one-of-a-kind live music experiences.",United States,Knoxville,2013,Events
Closet Collective,http://closetcollective.com,A peer-to-peer community where women can rent their designer closets to and from each other.,United States,New York City,2013,Fashion
Click & Boat,http://www.clickandboat.com,"The Airbnb of the Sea! This platform is a peer-to-peer boat rental marketplace, for classic, accompanied boat trips and boat hotels.",France,Paris,2013,Transport
Cleanify,http://www.cleanify.com,"The first, and only, cleaning service marketplace, providing small businesses and independent cleaners with the tools to find new customers and organise their services.",Canada,Vancouver,2011,House Chores
Classy,https://www.classy.org,The world€__s largest fundraising platform for nonprofits and social enterprises ('social good' organisations).,United States,San Diego,2013,Finance
Classkick,http://www.classkick.com/#home,A learning Platform where students can do their assignments and receive assistance from teachers and classmates.,United States,Chicago,2013,Education
Classics&Exotics,http://classicsandexotics.com,America's premiere classic and exotic car rental marketplace that brings the €__sharing economy€__ into the car enthusiast€__s garage.,United States,Boston,2014,Transport
Cir,http://cir.cl,"A platform where people connect with fellow enthusiasts, neighbours, and pals to buy and sell the things that they are (or were) passionate about.",United States,New York City,2012,Fashion
chowchime,http://chowchime.com,A social food sharing network dedicated to connecting chefs with dinners,United States,Los Angeles,,Cooking
chillWRKR,http://chillwrkr.com,"A platform that gives access to the most unique and convenient spaces in cities to work, chill or connect with others.",United States,New York City,,Home
Cher Amis,http://cheramis.com,"A creative hub and an exploration of artistic inspiration, aiming to make it easy for creative people with diverse skill sets to turn their talents into income.",United States,Washington D.C.,,Crafts
Chegg,http://www.chegg.com/,"Chegg offers you the ability to search free scholarships, browse course reviews, get 24/7 study help and rent textbooks for a fraction of the cost of your bookstore.",United States,San Francisco,2007,Education
Chefly,http://chefly.co,"An app that puts users in touch with local cooks who are eager to prepare fresh, delicious and affordable meals.",Spain,Madrid,2013,Cooking
Cheddar Up,http://cheddarup.com,The simplest way to collect and track online payments from a group.,United States,Denver,2012,Finance
Chairish,http://www.chairish.com,"An online consignment marketplace that makes it fun and easy for design lovers to buy and sell vintage and used furniture, home decor and jewelry to one another.",United States,San Francisco,2013,Home
chaffeo,https://www.facebook.com/chaffeo,"A peer-to-peer marketplace of fully-vetted, experienced drivers with unique offerings that turn into unforgettable experiences.",United States,San Francisco,,Transport
Castoff Technologies,http://castoffapp.com,"A private photo-messaging app, allowing users to send multiple photos with a question to their friends and receive anonymous votes and private comments in real-time.",United States,Las Vegas,2014,Fashion
CasaVersa,http://casaversa.com,A home exchange community helping people swap their houses for vacation and travel.,Israel,Tel Aviv,2012,Home
CARZAR,http://getcarzar.com,"A mobile platform for private-party used cars, allowing sellers to create a free, beautiful listing in less than 4 minutes and upload into a private and transparent marketplace.",United States,San Francisco,2014,Transport
carrywithyou,http://www.carrywithyou.com,A new social network and peer-to-peer shipping platform that connects travellers and people from around the world.,United States,,2015,Travel
Carnomise,http://carnomise.com,Helps travellers leaving an airport to avoid parking charges by renting their own cars out to other travellers.,Netherlands,Amsterdam,2013,Transport
CARMAnation,http://carmanation.com,A peer-to-peer sharing community that is making parking more convenient and affordable.,United States,San Francisco,2013,Transport
Carma,http://carmacarpool.com,Matches users with nearby commuters and enables them to share the cost of driving.,Ireland,Cork,2007,Transport
Carlypso,http://carlypso.com,A Bay Area startup that is transforming the used car retail industry.,United States,San Carlos,2013,Transport
Carkibo,http://carkibo.com,The car buying and selling platform connecting private car sellers to buyers with their peer-to-peer technology.,United States,Bay Area,2013,Transport
CarHopper,http://carhopper.co,Transforms the on-demand car rental industry to a hassle-free and more convenient experience.,United States,Florida,2015,Transport
Carhood,http://www.carhood.com.au,Allows car-owners to park at major Australian Airports for free and rent out their vehicle to other members of the community via an online service based platform.,Australia,Melbourne,2014,Transport
CareToShare,http://caretoshare.co.uk,A website bringing together people from all walks of life to exchange their skills and tasks with one another.,United Kingdom,London,,Education
Carambla,http://carambla.com,"Offers mobility officers and parking operators a jumpstart to organise, manage and open up their parking data.",Belgium,Gent,2011,Transport
Car2go,https://www.car2go.com,"A car2go is always a pleasure to drive: just take it, drive it, park it. Simple and straightforward.",Germany,Ulm,2008,Transport
Car Next Door,http://carnextdoor.com.au,An Australian company that facilitates peer-to-peer car rental.,Australia,Sydney,2012,Transport
CameraLends,http://cameralends.com,Peer-to-peer camera rentals. Rent and lend top gear from local pros.,United States,San Francisco,,Hobbies
Cahootsy Limited,http://www.cahootsy.com,The marketplace for shoppers and merchants to collaborate. Build a shopping identity to pull offers: the reverse Groupon effect.,United Kingdom,London,2012,Services
Cabpal,http://cabpal.co.uk,"A platform that enables people to connect with fellow travellers and share cabs back from the airport, conferences and festivals into the city.",United Kingdom,London,2014,Transport
Cabe na Mala,http://cabenamala.com.br,"A crowd-based logistics platform, allowing users to order anything from anywhere, paying for the product and offering an amount for the delivery.",Brazil,Belo Horizonte,2013,Travel
Buzzero,http://www.buzzero.com,An education portal that connects authors and institutions to deliver a diverse range of online courses.,Brazil,Sao Paulo,2010,Education
Butlr.net,http://butlr.net,"From cleaning to private education, Butlr is a peer-to-peer marketplace allowing users to easily find people willing to provide assistance.",Sweden,Gothenburg,2012,House Chores
Buster,http://busterhq.com,"A booking platform where customers can instantly discover, transparently compare, and seamlessly book private group transportation.",United States,Seattle,2012,Services
Bussi,http://www.bussi.com.mx/,A new and unique platform offering shared journey routes for the daily commutes of its users.,Mexico,,2014,Transport
Burro,http://getburro.com,"On-demand labour, delivery, and hauling at about 1/2 the price of U-haul.",United States,Austin,2014,Home
BullionVault,http://www.bullionvault.com,An internet peer-to-peer gold-and-silver-bullion exchange service.,United States,New York City,2005,Marketplace
Buggy,http://www.joinbuggy.com/,Car-borrowing platform based in New York.,United States,Brooklyn,,Transport
Buggl,http://www.buggl.com,A platform to share global knowledge and create travel guides.,United States,Boston,2012,Finance
Buckl,http://buckl.co,Carpooling platform for aviation.,France,Paris,,Transport
BubbleGlobe,http://bubble-globe.com,A collaborative platform allowing people to book authentic experiences hosted by locals while traveling or in their own city.,France,Paris,,Services
BTCjam,http://btcjam.com,"The global leader in peer-to-peer lending using Bitcoin, and the first to offer a proprietary credit score to its users.",United States,San Francisco,2013,Finance
brtr,http://brtr.it,A peer-to-peer marketplace for unique skills.,United States,Miami,,Education
Bright Neighbor,http://brightneighbor.com,"The first operational Sharing Economy aggregator and comparison site, making ""Shared Stuff, All in a Single Search"" possible.",United States,Portland,2008,Marketplace
brettapproved,http://www.brettapproved.com,"An accessibility-focused review, rating & booking site, so people with disabilities can travel confidently, locally or around the world.",United States,Phoenix,2012,Services
Breather,http://breather.com,"Provides on-demand rooms in large urban areas. They're great for holding a meeting, working in private, or just taking a break.",United States,New York City,2012,Business
brandlover,http://www.brandlover.net/,"A peer-to-peer community of fashion lovers, allowing users to buy and sell their handbags.",Thailand,Bangkok,,Fashion
BoxInTheBag,http://www.bringwasmit.de,"The community marketplace for low priced, foreign and unique products, pairing people who want to have something special (from abroad) with people who can send or bring it to them.",Germany,Wismar,2012,Marketplace
BorrowMyDoggy,https://www.borrowmydoggy.com/,"BorrowMyDoggy matches dog owners with local borrowers for walks, sitting and holiday care.",United Kingdom,London,2012,Pets
BorrowLenses,http://borrowlenses.com,The Internet's premiere destination for photographic and video equipment rental.,United States,San Carlos,2007,Hobbies
Borrow'd,http://borrowd.co,An innovative new app that connects college students who no longer need their textbooks with those that do.,United States,San Francisco,2015,Education
bootschaft,http://bootschaft.net,Bootschaft is a boat sharing service,Germany,Hamburg,,Transport
BOOTLEG MARKET,http://www.bootlegmarket.com/,The global peer-to-peer shoe marketplace allowing users to buy and sell shoes.,United States,Austin,2012,Fashion
Boommy,http://boommy.ru,The fashion marketplace platform where customers can buy and sell fashion items with ease and fun.,Russian Federation,Moscow,2012,Fashion
BookMooch,http://bookmooch.co.uk/,BookMooch lets you give away books you no longer need in exchange for books you really want.,United States,San Francisco,2006,Hobbies
Bookbuzz,http://www.bookbuzz.biz,Innovative corporate learning platform allowing users to share business advice.,Ireland,Dublin,2007,Business
Bookalokal,http://bookalokal.com,A global community where users can enjoy unique and local dining experiences in homes and restaurants.,United States,New York City,2012,Cooking
Boogi,http://boogi.co,A platform changing the classic way of booking and touring artists in music and event business.,Belarus,Minsk,,Events
BoatSetter,http://www.boatsetter.com,"Offers a unique luxury boat sharing marketplace that will, for the first time, make boat rentals accessible to consumers regardless of their boating experience.",United States,Miami,2013,Transport
Boatlers,http://www.boatlers.com,A worldwide peer-to-peer boat rental platform that connects boat owners to renters directly through the website. This community driven website is all about 'Boating Fun For Everyone'.,Netherlands,Amsterdam,2015,Transport
Boatbound,http://boatbound.co,Offers a fully insured €__pier-to-pier€__ marketplace for boat rentals in the U.S.,United States,San Francisco,2012,Transport
Board a Boat,http://boardaboat.com/,An online peer-to-peer boat hire marketplace that connects people who want to get out on the water with boat owners and marine professionals.,United Kingdom,London,2013,Transport
BnbEvent,http://bnbevent.com,The first platform for private accommodation during major events.,France,Le Mans,,Events
BlueMatch,http://bluematch.co,A platform that connects homeowners with service contractors similar to how Uber connects passengers with car services.,United States,Denver,,Services
Bloomerent,http://www.bloomerent.com/,A green sharing platform and marketing service for event flowers. Bloomerent connects florists and event hosts interested in sharing flower arrangements.,United States,New York City,2014,Events
Blocbox,http://blocbox.co,A service connecting users to neighbours working from home in order to solve common inconveniences that people experience while away from home.,United States,New York City,2015,Delivery
Blackhawk Investments,http://blackhawkcorp.com,Enables real estate borrowers and lenders to connect directly. A platform for asset-backed peer-to-peer real estate lending.,United States,San Francisco,2011,Finance
BlaBlaCar,http://blablacar.co.uk,BlaBlaCar is a car-sharing website that connects drivers with empty seats and paying passengers to offset distance travel costs. - See more at: https://www.crunchbase.com/organization/blablacar#sthash.Jtzh0GiM.dpuf,France,Paris,2006,Transport
BitLendingClub,http://bitlendingclub.com,A peer-to-peer bitcoin lending network. Small businesses get access to affordable loans while lenders earn profitable interest rates.,United States,Chicago,2013,Finance
Bitbond,http://bitbond.com,A global peer-to-peer bitcoin lending platform. Small businesses get access to affordable loans while lenders earn profitable interest rates.,Germany,Berlin,2013,Finance
Bionluk,http://bionluk.com,"An online marketplace where the ideas, talents and experiences of users - professionals and amateurs - turn into tasks and services.",Turkey,Istanbul,,Services
Bike Box Buddy,http://www.bikeboxbuddy.com,A peer-to-peer lending platform allowing users to hire bike boxes from people in their area.,United Kingdom,,2013,Sports
Bien Healthcare,http://bienhealthcare.com,Offers a unique platform for affordable on-demand healthcare for all.,United States,Stanford,,Services
Bib + Tuck,http://bibandtuck.com,"A highly curated community of shoppable personal closets, allowing users to trade high-fashion clothes.",United States,New York City,2012,Fashion
Besomebody,http://besomebody.co,The world€__s first mobile platform that connects people based on shared passions. It€__s a social marketplace that enables users to learn anything that they're passionate about.,United States,Austin,2011,Sports
Beperk.com,http://www.beperk.com,"The marketplace for thousands of freelancers to sell their local and digital work on design, marketing, programming, translation, mobile and much more.",Mexico,Guadalajara,2011,Services
Bellhops,http://getbellhops.com,"The new option €__€__between begging friends for help and booking a 'moving company.' Through apps and online platform, they connect athletic students with people and businesses needing help moving.",United States,Chattanooga,2013,Home
Beepyo,http://www.beepyo.com,A peer-to-peer community-driven rental marketplace that allows instant accessibility to things people need for their individual adventures.,United States,,2015,Marketplace
BedyCasa,http://www.bedycasa.com,"At the heart of the collaborative consumption in France, Bedy Casa allows travellers to sleep at locals', and hosts to make extra money by renting out a free room.",France,Montpellier,2007,Home
Beatsy,http://www.beatsy.co,"Offers a cross platform booking engine for bands, artists and DJs.",Finland,Tampere,2013,Events
BarterSugar,http://www.bartersugar.com,A marketplace where startups barter and trade their resources to get what they need instead of spending cash.,United States,Memphis,2012,Business
Barqo,http://www.barqo.co,"Barqo connects captains who have a boat, to sailors who want to explore the seas. Barqo makes sailing accessible, sustainable and lucrative.",Netherlands,Amsterdam,2014,Transport
Baro,http://getbaro.com,"The fresh platform for on-demand renting of tech items, Baro makes it possible for people to rent the items they want, and have them delivered in under an hour.",United States,New York City,2014,Technology
Barnacle,http://www.gobarnacle.com,A community-based shipping and transportation network that helps users deliver items that are uneconomical to send by mail.,United States,Mountain View,2013,Delivery
BankToTheFuture,http://bflanding.banktothefuture.com,The global online investment platform that brings financial innovation & technology investment opportunities to investors.,United Kingdom,London,2010,Finance
Bandwagon,http://www.bandwagon.io/home,"Facilitates real-time sharing of taxis and hired vehicles. Through web and mobile apps, Bandwagon connects people who are traveling in the same direction.",United States,Brooklyn,2009,Transport
Bancha,http://bancha.launchrock.com,An online marketplace for short term home rentals built around the interests of the people.,India,Rome,2012,Home
Baltic Car,http://baltic-car.com,The first collective carsharing network in the Baltics.,Latvia,Riga,2014,Transport
Backseat,http://www.backseat.me,Sydney's first ridesharing-only mobile application bringing innovation and positive change to Sydney's transportation system.,Australia,Sydney,2013,Transport
Backpack,http://backpackbang.com,A peer-to-peer marketplace that connects users with travellers who can bring desired products back at discounted prices.,United States,San Francisco,2014,Technology
Babelverse,http://babelverse.com,"The ""universal translator"" for spoken communication, powered by a global community of human language talent.",United Kingdom,London,2010,Services
Baatna,http://baatna.com,"An Android app that lets users borrow stuff instantly by shouting out their need to neighbours, friends and people in their surroundings.",India,Gurgaon,2015,Marketplace
Baas Bikes,http://www.baasbikes.com/,"Offers technology aiming to disrupt the cycle rental industry, allowing users to rent bikes from each other.",United States,Washington D.C.,2015,Transport
Ayoopa,http://ayoopa.com,The online rental marketplace for travel and outdoor gear.,United States,Houston,2013,Hobbies
AvenueStory,http://avenuestory.com,"Referred to as the 5* Airbnb, this is a marketplace where accommodations become pop up hotels and guests match their trip with a local activity.",United Kingdom,London,2012,Home
Avennu,http://avennu.com,"An online directory and booking system for creative spaces. List or find event locations, backdrops, and exhibition spaces.",United States,New York City,2014,Events
Aveeza,http://www.aveeza.com,"A safe and secure mobile app for parents to seamlessly connect with Aveeza-managed drivers of private school vans, with real time tracking.",Chile,Santiago,2014,Kids
Auxmoney,http://www.auxmoney.com/,Auxmoney is an online peer-to-peer loan marketplace.,Germany,Dusseldorf,2007,Finance
Autonetzer.de,http://www.autonetzer.de,Offers a safe and convenient peer-to-peer carsharing service where car owners can rent their cars to other people.,Germany,Stuttgart,2010,Transport
Assetz Capital,http://www.assetzcapital.co.uk,Peer-to-peer lending marketplace whereby private investors and financial institutions can lend directly to SME's.,United Kingdom,London,2012,Finance
AssetAvenue,http://assetavenue.com,"A peer-to-peer lending platform dedicated to the commercial real estate industry, connecting borrowers with accredited institutional investors. A business committed to creating lasting change in the real estate industry.",United States,Los Angeles,2013,Finance
Aspiro Funding,http://www.aspirofunding.com,A peer-to-peer platform for postgraduate loans.,United Kingdom,London,2013,Finance
Ask & Give,http://www.askandgiveapp.com/,"A social innovation app created to allow users to ask for help, give support, swap belongings and organise activities around their interests.",Greece,Rafina,,Marketplace
Arriendas,http://arriendas.cl,A car sharing community tailor-made for the developing world that believes in sharing cars through financial leases - insurance included.,Chile,Santiago,2012,Transport
Appetit,http://appetit.co.it,A culinary mobile app allowing people to cook for each other and have dinner at each others' houses.,Italy,Milan,,Cooking
Airbnb,http://airbnb.com,"The world's largest community-driven hospitality company. With unique listings in 190 countries, travellers can belong anywhere. Users can rent out their room, house or apartment, whilst vacationers can stay in a number of spaces at competitive rates.",United States,San Francisco,2008,Home
Ai (Agora Intelligence),http://aimarket.io,"An online marketplace that brings shoppers together to get low prices on great local deals. As others join a deal through social sharing, the offers and rewards get better.",United States,Santa Clara,2014,Marketplace
Agent Anything,http://www.agentanything.com,"A web platform allowing users to post small jobs, tasks and errands to an affordable skilled student workforce.",Canada,Montreal,2010,House Chores
Afluenta,http://afluenta.com,Afluenta is the leading peer-to-peer financial network for consumer loans in Latin America. Borrowers can access loans at rates (5%-10%) lower than traditional channels.,Argentina,Buenos Aires,2010,Finance
ADVLO,http://advlo.com,"Adventure Local serves as a community marketplace where local individuals can upload unique travel experiences, while travellers can search and book these ""adventures"". Experience all that the area and the locals have to offer.",United States,Philadelphia,2013,Services
Acadar,http://www.acadar.com,Online collaborative learning site that provides students with an array of support in preparation for exams.,Nigeria,Abuja,2011,Education
A Space For Art.,http://aspaceforart.com,"Connects artists with the venue space to exhibit their art. With an ever growing network of venues, from high-end restaurants, to 5* boutique hotels, they'll find the right spot for all sorts of art.",United Kingdom,London,2012,Art
1000tools,http://1000tools.com,"Rental marketplace for tools - both popular and niche. Tool owners can make money, and reduce clutter. Renters can save money and have the opportunity to meet people with similar interests.",United States,Ann Arbor,2012,Tools & Equipment
400,http://www.400holidays.com,"Peer-to-peer private luxury accommodation. Get direct access to chalets, villas, yachts, and homes straight from the owner, without the hassle of actually contacting them to ask for information.",United Kingdom,London,2012,Home
321Lend,http://321lend.com,Simple peer-to-peer capital lending platform that connects US creditworthy borrowers with savvy investors. A fast and efficient way to borrow money at attractive interest rates.,United States,San Francisco,2014,Finance
99Gamers,http://99gamers.com,"The gamer's marketplace, with the world's most extensive shared collection of video games. Trade games for free, using 99Gamers' virtual currency.",United States,San Francisco,2008,Technology
40billion.com,http://www.40billion.com,"Social networking platform of entrepreneurs, business leaders, and creative people; a social platform for connecting people and promoting the things they create.",United States,Atlanta,2008,Business
3D Hubs,http://3dhubs.com,"Platform for 3D printer owners and people who want to print in 3D, providing over 1 billion people with access to 3D printing within 10 miles of their home.",Netherlands,Amsterdam,2013,Crafts
2Tangos,http://www.2tangos.com,"Platform that brings people together to trade their respective knowledge. Users can list their city, skills, and the knowledge they want to gain, whilst connecting people through their social networks.",Israel,Tel Aviv,2012,Education
